Timestamp | System | Type | Color | Rate | Glass | Vantaux | Dimensions | Total Cost
2026-07-31 14:22:28 | Française (فتح عادي) | TPR | خشبي | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:22:32 | Française (فتح عادي) | TPR | أسود (Noir) | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:22:35 | Française (فتح عادي) | TPR | رمادي (Gris) | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:22:50 | Française (فتح عادي) | TPR | بيج (Beige) | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:22:55 | Française (فتح عادي) | TPR | سبيسيال | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:25:59 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:26:15 | Française (فتح عادي) | TPR | أسود (Noir) | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:26:23 | Française (فتح عادي) | TPR | أسود (Noir) | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 71,500.00 DA
2026-07-31 14:26:28 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 71,500.00 DA
2026-07-31 14:26:32 | Française (فتح عادي) | TPR | بيج (Beige) | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 71,500.00 DA
2026-07-31 14:26:36 | Française (فتح عادي) | TPR | أسود (Noir) | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 71,500.00 DA
2026-07-31 14:26:44 | Française (فتح عادي) | TPR | أسود (Noir) | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 14:26:45 | Française (فتح عادي) | TPR | أسود (Noir) | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 71,500.00 DA
