Date & Time,Aluminum Type,Color,Dimensions,Total Cost
2026-07-30 02:35:01,TPR (اقتصادي ومناسب),أبيض (Blanc),1.2m x 1.2m,6480.0 DZD
2026-07-30 02:38:43,SNPAN (مرتفع السعر),أسود (Noir),1.2m x 1.4m,10920.0 DZD
2026-07-30 02:48:28,SNPAN (مرتفع السعر),خشبي (Bois),1.2m x 1.2m,9360.0 DZD
2026-07-30 16:49:18,TPR (اقتصادي ومناسب),خشبي (Bois),1.0m x 1.0m,4500.0 DZD
2026-07-30 17:19:56,TPR (اقتصادي ومناسب),رمادي (Gris / Noir),1.0m x 1.0m,4500.0
